codigo_ibge;municipio;ano;rendimento_kgha;producao_ton
4302378;Bom Progresso - RS;2020;3000;13200
4302378;Bom Progresso - RS;2021;3000;13200
4302378;Bom Progresso - RS;2022;1200;5280
4302378;Bom Progresso - RS;2023;2700;11880
4302402;Bom Retiro do Sul - RS;2019;2600;650
4302402;Bom Retiro do Sul - RS;2020;2700;1080
4302402;Bom Retiro do Sul - RS;2021;2600;1092
4302402;Bom Retiro do Sul - RS;2022;751;323
4302402;Bom Retiro do Sul - RS;2023;1200;600
4302451;Boqueirão do Leão - RS;2019;3000;1800
4302451;Boqueirão do Leão - RS;2020;900;630
4302451;Boqueirão do Leão - RS;2021;3300;3630
4302451;Boqueirão do Leão - RS;2022;2000;3000
4302451;Boqueirão do Leão - RS;2023;2100;5880
4302501;Bossoroca - RS;2019;2990;136920
4302501;Bossoroca - RS;2020;1299;64933
4302501;Bossoroca - RS;2021;2529;126432
4302501;Bossoroca - RS;2022;533;23974
4302501;Bossoroca - RS;2023;480;24951
4302584;Bozano - RS;2019;3516;48306
4302584;Bozano - RS;2020;1883;25718
4302584;Bozano - RS;2021;3899;53372
4302584;Bozano - RS;2022;537;7410
4302584;Bozano - RS;2023;1644;22716
4302600;Braga - RS;2019;3300;25806
4302600;Braga - RS;2020;2700;21114
4302600;Braga - RS;2021;3600;28080
4302600;Braga - RS;2022;800;6400
4302600;Braga - RS;2023;2520;20160
4302659;Brochier - RS;2019;0;0
4302659;Brochier - RS;2020;0;0
4302659;Brochier - RS;2021;0;0
4302659;Brochier - RS;2022;0;0
4302659;Brochier - RS;2023;0;0
4302709;Butiá - RS;2019;3000;30000
4302709;Butiá - RS;2020;900;9900
4302709;Butiá - RS;2021;3500;38500
4302709;Butiá - RS;2022;3000;33000
4302709;Butiá - RS;2023;2625;31500
4302808;Caçapava do Sul - RS;2019;2500;53900
4302808;Caçapava do Sul - RS;2020;986;23664
4302808;Caçapava do Sul - RS;2021;3000;72000
4302808;Caçapava do Sul - RS;2022;1230;34440
4302808;Caçapava do Sul - RS;2023;1560;62790
4302907;Cacequi - RS;2019;2280;64752
4302907;Cacequi - RS;2020;1435;48216
4302907;Cacequi - RS;2021;2880;109440
4302907;Cacequi - RS;2022;945;36855
4302907;Cacequi - RS;2023;1694;69456
4303004;Cachoeira do Sul - RS;2019;2973;306240
4303004;Cachoeira do Sul - RS;2020;1320;139309
4303004;Cachoeira do Sul - RS;2021;3232;341998
